"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12603199","264","20$ approx","NSW","18","Liverpool","260","Event Cinemas","6.5%","Thankam","Auto","1/02/2023 11:18:46 AM","360 $","9","Wed 01 February 3:15 PM"
"12603207","262","20$ approx","NSW","20","Liverpool","258","Event Cinemas","7.2%","Thankam","Auto","1/02/2023 6:19:28 PM","400 $","9","Wed 01 February 6:30 PM"
"12597762","191","20$ approx","NSW","4","Parramatta","188","Event Cinemas","2.1%","Thankam","Auto","1/02/2023 11:18:48 AM","80 $","2","Wed 01 February 3:20 PM"
"12597770","189","20$ approx","NSW","6","Parramatta","186","Event Cinemas","3.1%","Thankam","Auto","1/02/2023 8:12:17 PM","120 $","2","Wed 01 February 9:00 PM"
"12599971","93","20$ approx","NSW","8","Burwood","92","Event Cinemas","8%","Thankam","Auto","1/02/2023 11:18:49 AM","160 $","12","Wed 01 February 3:00 PM"
"12599993","77","20$ approx","NSW","24","Burwood","76","Event Cinemas","24%","Thankam","Auto","1/02/2023 8:12:18 PM","480 $","12","Wed 01 February 8:45 PM"
