"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12603172","264","20$ approx","NSW","18","Liverpool","260","Event Cinemas","6.5%","Thankam","Auto","31/01/2023 11:55:54 AM","360 $","9","Tue 31 January 3:30 PM"
"12603178","152","20$ approx","NSW","15","Liverpool","150","Event Cinemas","9.1%","Thankam","Auto","31/01/2023 11:55:55 AM","300 $","8","Tue 31 January 6:15 PM"
"12597742","191","20$ approx","NSW","4","Parramatta","188","Event Cinemas","2.1%","Thankam","Auto","31/01/2023 11:55:55 AM","80 $","2","Tue 31 January 3:15 PM"
"12597750","180","20$ approx","NSW","15","Parramatta","177","Event Cinemas","7.8%","Thankam","Auto","31/01/2023 11:55:56 AM","300 $","2","Tue 31 January 9:00 PM"
"12599731","93","20$ approx","NSW","8","Burwood","92","Event Cinemas","8%","Thankam","Auto","31/01/2023 11:55:56 AM","160 $","12","Tue 31 January 3:00 PM"
"12599754","88","20$ approx","NSW","13","Burwood","87","Event Cinemas","13%","Thankam","Auto","31/01/2023 11:55:57 AM","260 $","12","Tue 31 January 8:45 PM"
