"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12603148","150","20$ approx","NSW","17","Liverpool","148","Event Cinemas","10.3%","Thankam","Auto","30/01/2023 2:24:57 PM","340 $","8","Mon 30 January 6:15 PM"
"12597722","191","20$ approx","NSW","4","Parramatta","188","Event Cinemas","2.1%","Thankam","Auto","30/01/2023 2:24:57 PM","80 $","2","Mon 30 January 3:15 PM"
"12599185","93","20$ approx","NSW","8","Burwood","92","Event Cinemas","8%","Thankam","Auto","30/01/2023 8:57:25 AM","160 $","12","Mon 30 January 8:45 PM"
"12603142","262","20$ approx","NSW","20","Liverpool","258","Event Cinemas","7.2%","Thankam","Auto","30/01/2023 2:24:56 PM","400 $","9","Mon 30 January 3:30 PM"
"12597730","188","20$ approx","NSW","7","Parramatta","185","Event Cinemas","3.6%","Thankam","Auto","30/01/2023 2:24:58 PM","140 $","2","Mon 30 January 9:00 PM"
"12599162","93","20$ approx","NSW","8","Burwood","92","Event Cinemas","8%","Thankam","Auto","30/01/2023 2:24:58 PM","160 $","12","Mon 30 January 3:00 PM"
