"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12614637","259","20$ approx","NSW","22","Liverpool","256","Event Cinemas","7.9%","Pathaan - Hindi","Auto","2/02/2023 12:12:02 PM","440 $","10","Thu 02 February 3:00 PM"
"12614642","325","20$ approx","NSW","20","Liverpool","325","Event Cinemas","5.8%","Pathaan - Hindi","Auto","2/02/2023 12:12:06 PM","400 $","11","Thu 02 February 5:30 PM"
"12614649","311","20$ approx","NSW","34","Liverpool","311","Event Cinemas","9.9%","Pathaan - Hindi","Auto","2/02/2023 12:12:11 PM","680 $","11","Thu 02 February 8:45 PM"
"12611289","215","20$ approx","NSW","16","Glendale","213","Event Cinemas","7%","Pathaan - Hindi","Auto","2/02/2023 12:12:13 PM","320 $","2","Thu 02 February 5:30 PM"
"12611296","378","20$ approx","NSW","25","Glendale","375","Event Cinemas","6.2%","Pathaan - Hindi","Auto","2/02/2023 12:12:16 PM","500 $","7","Thu 02 February 8:45 PM"
"12616818","290","20$ approx","NSW","14","Castle Hill","287","Event Cinemas","4.7%","Pathaan - Hindi","Auto","2/02/2023 12:12:18 PM","280 $","1","Thu 02 February 4:40 PM"
"12616823","202","20$ approx","NSW","37","Castle Hill","199","Event Cinemas","15.7%","Pathaan - Hindi","Auto","2/02/2023 12:12:20 PM","740 $","4","Thu 02 February 6:30 PM"
"12616830","221","20$ approx","NSW","18","Castle Hill","217","Event Cinemas","7.7%","Pathaan - Hindi","Auto","2/02/2023 12:12:22 PM","360 $","3","Thu 02 February 9:00 PM"
"12608873","31","20$ approx","NSW","15","Castle Hill","31","Event Cinemas","32.6%","Pathaan - Hindi","Auto","2/02/2023 12:12:24 PM","300 $","1","Thu 02 February 9:00 PM"
"12616832","300","20$ approx","NSW","11","Castle Hill","298","Event Cinemas","3.6%","Pathaan - Hindi","Auto","2/02/2023 12:12:27 PM","220 $","2","Thu 02 February 9:30 PM"
"12609813","383","20$ approx","NSW","10","Macquarie Park","379","Event Cinemas","2.6%","Pathaan - Hindi","Auto","2/02/2023 12:12:29 PM","200 $","4","Thu 02 February 5:50 PM"
"12609825","372","20$ approx","NSW","21","Macquarie Park","368","Event Cinemas","5.4%","Pathaan - Hindi","Auto","2/02/2023 12:12:31 PM","420 $","4","Thu 02 February 9:00 PM"
