"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12614759","256","20$ approx","NSW","29","Liverpool","249","Event Cinemas","10.4%","Pathaan - Hindi","Auto","02/06/2023 03:40:56","580 $","10","Mon 06 February 3:30 PM"
"12614765","315","20$ approx","NSW","31","Liverpool","315","Event Cinemas","9%","Pathaan - Hindi","Auto","02/06/2023 03:40:59","620 $","12","Mon 06 February 6:30 PM"
"12611412","197","20$ approx","NSW","16","Glendale","195","Event Cinemas","7.6%","Pathaan - Hindi","Auto","02/06/2023 03:41:00","320 $","3","Mon 06 February 3:30 PM"
"12611416","217","20$ approx","NSW","14","Glendale","215","Event Cinemas","6.1%","Pathaan - Hindi","Auto","02/06/2023 03:41:02","280 $","2","Mon 06 February 5:30 PM"
"12611428","374","20$ approx","NSW","29","Glendale","371","Event Cinemas","7.2%","Pathaan - Hindi","Auto","02/06/2023 03:41:05","580 $","7","Mon 06 February 9:00 PM"
"12616974","293","20$ approx","NSW","18","Castle Hill","291","Event Cinemas","5.8%","Pathaan - Hindi","Auto","02/06/2023 03:41:09","360 $","2","Mon 06 February 3:10 PM"
"12616988","299","20$ approx","NSW","12","Castle Hill","297","Event Cinemas","3.9%","Pathaan - Hindi","Auto","02/06/2023 03:41:12","240 $","2","Mon 06 February 6:15 PM"
"12616995","224","20$ approx","NSW","15","Castle Hill","220","Event Cinemas","6.4%","Pathaan - Hindi","Auto","02/06/2023 03:41:16","300 $","3","Mon 06 February 8:50 PM"
"12608954","40","20$ approx","NSW","6","Castle Hill","40","Event Cinemas","13%","Pathaan - Hindi","Auto","02/06/2023 03:41:19","120 $","1","Mon 06 February 9:00 PM"
"12617000","301","20$ approx","NSW","10","Castle Hill","299","Event Cinemas","3.2%","Pathaan - Hindi","Auto","02/06/2023 03:41:22","200 $","2","Mon 06 February 9:20 PM"
"12610009","383","20$ approx","NSW","10","Macquarie Park","379","Event Cinemas","2.6%","Pathaan - Hindi","Auto","02/06/2023 03:41:25","200 $","4","Mon 06 February 5:50 PM"
"12610022","385","20$ approx","NSW","8","Macquarie Park","381","Event Cinemas","2.1%","Pathaan - Hindi","Auto","02/06/2023 03:41:27","160 $","4","Mon 06 February 9:00 PM"
"12615326","169","20$ approx","NSW","41","Burwood","166","Event Cinemas","19.8%","Pathaan - Hindi","Auto","02/06/2023 02:34:35","820 $","8","Mon 06 February 2:00 PM"
"12615338","68","20$ approx","NSW","36","Burwood","64","Event Cinemas","36%","Pathaan - Hindi","Auto","02/06/2023 03:41:30","720 $","12","Mon 06 February 5:10 PM"
"12615347","158","20$ approx","NSW","56","Burwood","151","Event Cinemas","27.1%","Pathaan - Hindi","Auto","02/06/2023 03:41:33","1120 $","8","Mon 06 February 7:30 PM"
"12611865","149","20$ approx","NSW","12","Hornsby","144","Event Cinemas","7.7%","Pathaan - Hindi","Auto","02/06/2023 03:41:36","240 $","8","Mon 06 February 2:30 PM"
"12611874","147","20$ approx","NSW","11","Hornsby","145","Event Cinemas","7.1%","Pathaan - Hindi","Auto","02/06/2023 03:41:38","220 $","8","Mon 06 February 5:40 PM"
"12611887","152","20$ approx","NSW","6","Hornsby","150","Event Cinemas","3.8%","Pathaan - Hindi","Auto","02/06/2023 03:41:41","120 $","8","Mon 06 February 8:50 PM"
"12618709","319","20$ approx","NSW","18","Campbelltown","313","Event Cinemas","5.4%","Pathaan - Hindi","Auto","02/06/2023 03:41:43","360 $","2","Mon 06 February 3:00 PM"
"12618722","115","20$ approx","NSW","30","Campbelltown","107","Event Cinemas","21.9%","Pathaan - Hindi","Auto","02/06/2023 03:41:46","600 $","8","Mon 06 February 7:00 PM"
"12612979","222","20$ approx","NSW","23","Parramatta","217","Event Cinemas","9.6%","Pathaan - Hindi","Auto","02/06/2023 03:41:49","460 $","5","Mon 06 February 3:20 PM"
"12612451","393","20$ approx","NSW","4","Parramatta","386","Event Cinemas","1%","Pathaan - Hindi","Auto","02/06/2023 03:41:52","80 $","1","Mon 06 February 5:50 PM"
"12612454","385","20$ approx","NSW","12","Parramatta","378","Event Cinemas","3.1%","Pathaan - Hindi","Auto","02/06/2023 03:41:55","240 $","1","Mon 06 February 9:00 PM"
"12612809","105","20$ approx","NSW","3","Ryde","103","Event Cinemas","2.8%","Pathaan - Hindi","Auto","02/06/2023 03:41:58","60 $","2","Mon 06 February 2:30 PM"
