"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12603035","222","20$ approx","NSW","131","Liverpool","214","Event Cinemas","38%","Pathaan - Hindi","Auto","27/01/2023 2:32:30 PM","2620 $","11","Fri 27 January 2:30 PM"
"12603045","200","20$ approx","NSW","151","Liverpool","194","Event Cinemas","43.8%","Pathaan - Hindi","Auto","27/01/2023 2:32:31 PM","3020 $","11","Fri 27 January 5:45 PM"
"12608846","201","20$ approx","NSW","87","Liverpool","191","Event Cinemas","31.3%","Pathaan - Hindi","Auto","27/01/2023 2:32:31 PM","1740 $","9","Fri 27 January 8:15 PM"
"12603053","147","20$ approx","NSW","198","Liverpool","147","Event Cinemas","57.4%","Pathaan - Hindi","Auto","27/01/2023 2:32:32 PM","3960 $","11","Fri 27 January 9:00 PM"
"12571449","157","20$ approx","NSW","54","Glendale","155","Event Cinemas","25.8%","Pathaan - Hindi","Auto","27/01/2023 2:32:32 PM","1080 $","3","Fri 27 January 8:50 PM"
"12595719","245","20$ approx","NSW","70","Castle Hill","239","Event Cinemas","22.7%","Pathaan - Hindi","Auto","27/01/2023 9:54:38 AM","1400 $","2","Fri 27 January 1:10 PM"
"12593757","19","20$ approx","NSW","27","Castle Hill","19","Event Cinemas","58.7%","Pathaan - Hindi","Auto","27/01/2023 2:32:33 PM","540 $","5","Fri 27 January 3:30 PM"
"12595731","225","20$ approx","NSW","92","Castle Hill","217","Event Cinemas","29.8%","Pathaan - Hindi","Auto","27/01/2023 2:32:34 PM","1840 $","2","Fri 27 January 4:05 PM"
"12595736","119","20$ approx","NSW","120","Castle Hill","115","Event Cinemas","51.1%","Pathaan - Hindi","Auto","27/01/2023 2:32:35 PM","2400 $","3","Fri 27 January 6:10 PM"
"12608555","100","20$ approx","NSW","46","Castle Hill","95","Event Cinemas","32.6%","Pathaan - Hindi","Auto","27/01/2023 2:32:36 PM","920 $","6","Fri 27 January 9:00 PM"
"12608712","75","20$ approx","NSW","36","Castle Hill","69","Event Cinemas","34.3%","Pathaan - Hindi","Auto","27/01/2023 2:32:37 PM","720 $","10","Fri 27 January 9:00 PM"
"12608550","27","20$ approx","NSW","30","Castle Hill","23","Event Cinemas","56.6%","Pathaan - Hindi","Auto","27/01/2023 2:32:37 PM","600 $","3","Fri 27 January 9:00 PM"
"12595745","136","20$ approx","NSW","103","Castle Hill","132","Event Cinemas","43.8%","Pathaan - Hindi","Auto","27/01/2023 2:32:38 PM","2060 $","3","Fri 27 January 9:10 PM"
"12593767","23","20$ approx","NSW","36","Castle Hill","23","Event Cinemas","61%","Pathaan - Hindi","Auto","27/01/2023 2:32:38 PM","720 $","4","Fri 27 January 9:30 PM"
"12595749","150","20$ approx","NSW","163","Castle Hill","146","Event Cinemas","52.8%","Pathaan - Hindi","Auto","27/01/2023 2:32:39 PM","3260 $","2","Fri 27 January 9:40 PM"
"12571424","134","20$ approx","NSW","75","Macquarie Park","123","Event Cinemas","37.9%","Pathaan - Hindi","Auto","27/01/2023 2:32:39 PM","1500 $","13","Fri 27 January 5:40 PM"
"12571425","110","20$ approx","NSW","90","Macquarie Park","108","Event Cinemas","45.5%","Pathaan - Hindi","Auto","27/01/2023 2:32:40 PM","1800 $","13","Fri 27 January 8:50 PM"
"12597930","24","20$ approx","NSW","105","Burwood","22","Event Cinemas","82.7%","Pathaan - Hindi","Auto","27/01/2023 2:32:40 PM","2100 $","6","Fri 27 January 3:15 PM"
"12597940","40","20$ approx","NSW","134","Burwood","39","Event Cinemas","77.5%","Pathaan - Hindi","Auto","27/01/2023 2:32:41 PM","2680 $","3","Fri 27 January 6:00 PM"
"12597954","39","20$ approx","NSW","135","Burwood","38","Event Cinemas","78%","Pathaan - Hindi","Auto","27/01/2023 2:32:42 PM","2700 $","3","Fri 27 January 9:10 PM"
"12601017","335","20$ approx","NSW","49","Hornsby","325","Event Cinemas","13.1%","Pathaan - Hindi","Auto","27/01/2023 2:32:42 PM","980 $","5","Fri 27 January 2:30 PM"
"12598923","294","20$ approx","NSW","65","Hornsby","287","Event Cinemas","18.5%","Pathaan - Hindi","Auto","27/01/2023 2:32:43 PM","1300 $","4","Fri 27 January 6:30 PM"
"12598934","295","20$ approx","NSW","61","Hornsby","291","Event Cinemas","17.3%","Pathaan - Hindi","Auto","27/01/2023 2:32:44 PM","1220 $","4","Fri 27 January 9:30 PM"
"12600065","53","20$ approx","NSW","150","Campbelltown","45","Event Cinemas","76.9%","Pathaan - Hindi","Auto","27/01/2023 2:32:45 PM","3000 $","6","Fri 27 January 9:00 PM"
"12607757","44","20$ approx","NSW","63","Parramatta","41","Event Cinemas","60.6%","Pathaan - Hindi","Auto","27/01/2023 9:54:47 AM","1260 $","1","Fri 27 January 10:10 AM"
"12607758","76","20$ approx","NSW","30","Parramatta","74","Event Cinemas","28.8%","Pathaan - Hindi","Auto","27/01/2023 9:54:47 AM","600 $","1","Fri 27 January 1:20 PM"
"12597660","235","20$ approx","NSW","129","Parramatta","210","Event Cinemas","38.1%","Pathaan - Hindi","Auto","27/01/2023 2:32:45 PM","2580 $","6","Fri 27 January 2:40 PM"
"12573840","95","20$ approx","NSW","258","Parramatta","81","Event Cinemas","76.1%","Pathaan - Hindi","Auto","27/01/2023 2:32:45 PM","5160 $","6","Fri 27 January 5:45 PM"
"12608996","253","20$ approx","NSW","105","Parramatta","234","Event Cinemas","31%","Pathaan - Hindi","Auto","27/01/2023 2:32:46 PM","2100 $","6","Fri 27 January 9:00 PM"
"12594213","4","20$ approx","NSW","36","Parramatta","4","Event Cinemas","90%","Pathaan - Hindi","Auto","27/01/2023 2:32:46 PM","720 $","2","Fri 27 January 9:20 PM"
"12597672","122","20$ approx","NSW","272","Parramatta","118","Event Cinemas","69.7%","Pathaan - Hindi","Auto","27/01/2023 2:32:46 PM","5440 $","1","Fri 27 January 9:30 PM"
"12608702","295","20$ approx","NSW","31","Ryde","289","Event Cinemas","9.7%","Pathaan - Hindi","Auto","27/01/2023 2:32:47 PM","620 $","5","Fri 27 January 3:00 PM"
"12608567","264","20$ approx","NSW","62","Ryde","258","Event Cinemas","19.4%","Pathaan - Hindi","Auto","27/01/2023 2:32:48 PM","1240 $","5","Fri 27 January 6:00 PM"
"12608708","111","20$ approx","NSW","30","Ryde","109","Event Cinemas","21.6%","Pathaan - Hindi","Auto","27/01/2023 2:32:48 PM","600 $","7","Fri 27 January 6:40 PM"
"12608563","115","20$ approx","NSW","30","Ryde","109","Event Cinemas","21.6%","Pathaan - Hindi","Auto","27/01/2023 2:32:48 PM","600 $","3","Fri 27 January 8:00 PM"
"12608569","274","20$ approx","NSW","54","Ryde","266","Event Cinemas","16.9%","Pathaan - Hindi","Auto","27/01/2023 2:32:49 PM","1080 $","5","Fri 27 January 9:05 PM"
"12608993","135","20$ approx","NSW","45","Hurstville","130","Event Cinemas","25.7%","Pathaan - Hindi","Auto","27/01/2023 2:32:49 PM","900 $","3","Fri 27 January 2:30 PM"
"12596518","69","20$ approx","NSW","112","Hurstville","63","Event Cinemas","64%","Pathaan - Hindi","Auto","27/01/2023 2:32:50 PM","2240 $","3","Fri 27 January 5:35 PM"
"12571436","67","20$ approx","NSW","115","Hurstville","60","Event Cinemas","65.7%","Pathaan - Hindi","Auto","27/01/2023 2:32:50 PM","2300 $","3","Fri 27 January 8:50 PM"
"12608557","177","20$ approx","NSW","149","Hurstville","165","Event Cinemas","47.5%","Pathaan - Hindi","Auto","27/01/2023 2:32:51 PM","2980 $","1","Fri 27 January 9:30 PM"
"12601431","97","20$ approx","NSW","28","Tuggerah","95","Event Cinemas","22.8%","Pathaan - Hindi","Auto","27/01/2023 2:32:51 PM","560 $","7","Fri 27 January 9:00 PM"
"12609067","52","20$ approx","NSW","50","Burwood","50","Event Cinemas","50%","Pathaan - Hindi","Auto","27/01/2023 2:32:41 PM","1000 $","12","Fri 27 January 8:50 PM"
"12609018","86","20$ approx","NSW","61","Campbelltown","76","Event Cinemas","44.5%","Pathaan - Hindi","Auto","27/01/2023 2:32:44 PM","1220 $","7","Fri 27 January 6:00 PM"
"MTDRTT/271174","35","20$ approx","","69","Mt Druitt","27","Hoyts Cinemas","71.9%","Pathaan  (Hindi, Eng Sub)","Auto","27/01/2023 4:07:18 PM","1380 $","Xtremescreen 03","27/01/2023 6:00:00 PM"
"MTDRTT/272712","39","20$ approx","","20","Mt Druitt","36","Hoyts Cinemas","35.7%","Pathaan  (Hindi, Eng Sub)","Auto","27/01/2023 4:07:19 PM","400 $","Cinema 08","27/01/2023 8:10:00 PM"
"MTDRTT/272703","39","20$ approx","","18","Mt Druitt","38","Hoyts Cinemas","32.1%","Pathaan  (Hindi, Eng Sub)","Auto","27/01/2023 4:07:19 PM","360 $","Cinema 07","27/01/2023 8:40:00 PM"
