"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12614667","259","20$ approx","NSW","23","Liverpool","255","Event Cinemas","8.3%","Pathaan - Hindi","Auto","3/02/2023 11:24:02 AM","460 $","10","Fri 03 February 3:00 PM"
"12614671","313","20$ approx","NSW","32","Liverpool","313","Event Cinemas","9.3%","Pathaan - Hindi","Auto","3/02/2023 11:24:02 AM","640 $","11","Fri 03 February 5:45 PM"
"12614679","301","20$ approx","NSW","44","Liverpool","301","Event Cinemas","12.8%","Pathaan - Hindi","Auto","3/02/2023 11:24:03 AM","880 $","11","Fri 03 February 9:00 PM"
"12611328","374","20$ approx","NSW","29","Glendale","371","Event Cinemas","7.2%","Pathaan - Hindi","Auto","3/02/2023 11:24:03 AM","580 $","7","Fri 03 February 9:00 PM"
"12616861","275","20$ approx","NSW","31","Castle Hill","270","Event Cinemas","10.3%","Pathaan - Hindi","Auto","3/02/2023 11:24:04 AM","620 $","1","Fri 03 February 4:40 PM"
"12616865","92","20$ approx","NSW","53","Castle Hill","90","Event Cinemas","37.1%","Pathaan - Hindi","Auto","3/02/2023 11:24:04 AM","1060 $","5","Fri 03 February 6:20 PM"
"12616871","164","20$ approx","NSW","77","Castle Hill","158","Event Cinemas","32.8%","Pathaan - Hindi","Auto","3/02/2023 11:24:05 AM","1540 $","3","Fri 03 February 9:00 PM"
"12608894","18","20$ approx","NSW","28","Castle Hill","18","Event Cinemas","60.9%","Pathaan - Hindi","Auto","3/02/2023 11:24:05 AM","560 $","1","Fri 03 February 9:00 PM"
"12616874","248","20$ approx","NSW","63","Castle Hill","246","Event Cinemas","20.4%","Pathaan - Hindi","Auto","3/02/2023 11:24:06 AM","1260 $","2","Fri 03 February 9:30 PM"
"12609862","371","20$ approx","NSW","22","Macquarie Park","367","Event Cinemas","5.7%","Pathaan - Hindi","Auto","3/02/2023 11:24:06 AM","440 $","4","Fri 03 February 5:50 PM"
"12609874","375","20$ approx","NSW","18","Macquarie Park","371","Event Cinemas","4.6%","Pathaan - Hindi","Auto","3/02/2023 11:24:07 AM","360 $","4","Fri 03 February 9:00 PM"
"12615184","111","20$ approx","NSW","17","Burwood","110","Event Cinemas","13.4%","Pathaan - Hindi","Auto","3/02/2023 11:24:07 AM","340 $","6","Fri 03 February 3:40 PM"
"12615193","99","20$ approx","NSW","75","Burwood","98","Event Cinemas","43.4%","Pathaan - Hindi","Auto","3/02/2023 11:24:08 AM","1500 $","3","Fri 03 February 6:00 PM"
"12615206","126","20$ approx","NSW","50","Burwood","123","Event Cinemas","28.9%","Pathaan - Hindi","Auto","3/02/2023 11:24:08 AM","1000 $","3","Fri 03 February 9:10 PM"
"12611759","152","20$ approx","NSW","6","Hornsby","150","Event Cinemas","3.8%","Pathaan - Hindi","Auto","3/02/2023 11:24:09 AM","120 $","8","Fri 03 February 2:30 PM"
"12611766","130","20$ approx","NSW","28","Hornsby","128","Event Cinemas","17.9%","Pathaan - Hindi","Auto","3/02/2023 11:24:10 AM","560 $","8","Fri 03 February 5:40 PM"
