"Brand","Booked","TotalCost","SeatsRemaining","SessionId","Location","Screen","Available","CostPerTicket","MovieName","Mode","Showtime","State","Occupancy","LastUpdatedOn"
"Event Cinemas","13","260 $","176","12612990","Parramatta","3","172","20$ approx","Nanpakal Nerathu Mayakkam","Auto","Mon 06 February 9:00 PM","NSW","7%","02/06/2023 09:39:19"
"Event Cinemas","10","200 $","152","12615336","Burwood","9","151","20$ approx","Nanpakal Nerathu Mayakkam","Auto","Mon 06 February 5:00 PM","NSW","6.2%","02/05/2023 21:37:39"
