description,bms_show_count,bms_amount,paytm_show_count,paytm_amount,source
2022-11-24,738,1212990,357,1327590,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-24.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-24.csv
2022-11-25,378,1144603,153,419784,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-25.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-25.csv
2022-11-26,286,1771653,179,906325,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-26.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-26.csv
2022-11-27,493,2636389,198,893085,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-27.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-27.csv
2022-11-28,497,796309,194,335713,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-28.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-28.csv
2022-11-29,481,796540,195,404775,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-29.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-29.csv
2022-11-30,317,214475,180,369350,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-30.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-30.csv
2022-12-01,,,141,301581,https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-01.csv
2022-12-02,,,64,186463,https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-02.csv
2022-12-03,,,69,248393,https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-03.csv
2022-12-04,,,74,308291,https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-04.csv
2022-12-05,157,236300,75,128579,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-05.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-05.csv
2022-12-06,125,144336,87,162045,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-06.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-06.csv
2022-12-07,64,77624,80,169532,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-07.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-07.csv
2022-12-08,48,71237,74,194305,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-08.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-08.csv
2022-12-09,117,165417,79,197379,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-09.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-09.csv
2022-12-10,96,332850,103,303528,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-10.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-10.csv
