description,bms_show_count,bms_count,paytm_show_count,paytm_amount,source
2022-04-03,79,215073,61,313980,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-03.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-03.csv
2022-04-04,83,88199,69,160779,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-04.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-04.csv
2022-04-05,80,87655,69,156414,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-05.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-05.csv
2022-04-06,81,81611,72,151011,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-06.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-06.csv
2022-04-07,69,74887,68,137001,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-07.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-07.csv
2022-04-08,45,50400,42,92080,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-08.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-08.csv
2022-04-09,44,73960,40,140030,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-09.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-09.csv
2022-04-10,44,83990,35,118230,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-10.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-10.csv
2022-04-11,42,42610,38,71768,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-11.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-11.csv
2022-04-12,41,43030,40,84020,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-12.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-12.csv
